제목,본문,목표가,투자의견,작성일,증권사
기다리고 기다렸던 미국 해저케이블 공장,"▶ 7/10, 미국 생산시설 투자 공시
- LS Green Link USA(LS전선 100%, 2023/10 신설) 해저케이블 공장 건설을 위해 LS전선이 약 9,418억원(6억 8,475만 달러)의 투자를 결의하는 공시 발표
- 규모는 매출액 기준 5,000~6,000억원(동해 해저케이블 4, 5동 합한 규모), 향후 증설 위한 1개 라인 추가 가능. 완공은 ‘27년 목표, 위치 Virginia
▶ 미국 = 해저케이블 공급 우위 시장
- 미국 목표: 미국 정부는 ‘30년까지 30GW의 해상풍력 건설 목표 중. DOE가 2024/4월에 발표한 자료에 따르면 현재 미국 내 2024/4월까지 건설 중인 용량은 5GW, 건설 승인된 용량은 10GW, 추가적으로 5~10GW가 FID 대기 중. DOE와 NREL은 미국 내 해저케이블 생산시설이 있지만 수요를 충족하고 있지 못하고 있으며, ‘30년까지 30GW 달성을 위해서는 2,100개의 터빈, 10,000km이상의 내/외부 해저케이블이 필요하다 언급
- 미국 내 생산 업체: 미국에서 가동 중인 해저케이블 공장은 Nexans(Export Cable: ‘21년 완공, 위치 South Carolina, 추가 증설 ‘27년 완공 예정, 총 CAPA 1,000km 수준으로 추정)가 유일. Prysmian(Export Cable: ‘25년 완공 예정, 위치 Massachusetts, CAPA 미공개)과 Hellenic Cable(Array Cable: 투자 발표, 위치 Maryland) 투자와 증설 진행 중, LS Green Link USA는 4번째 진입자로 Export Cable을 생산할 예정
- 미국의 지원: 미국은 자국 내 생산시설이 부족하여 IRA를 통해 해상풍력 생산시설 투자세액공제/생산 세액공제 중. LS Green Link는 48C로 올해 4월 9,900만 달러 연방정부 투자세액공제 확보 및 4,800만 달러 규모의 주정부 보조금 수령함
- Virginia, 좋은 위치: 미국 동부의 해상풍력 시장은 유망하다고 평가되며 많은 해상 풍력 임대 계약 진행 중. Dominion Energy는 버지니아 앞바다에 40,000에이커 임대 계약을 체결했고, 총 90억 달러 해상 풍력 발전 사업 발표. 그 외 인근 동부 지역의 해상 풍력 계획들도 많아지고 있음
▶ 투자의견 ‘BUY’, 목표주가 190,000원으로 유지
- LS Green Link USA의 기업 가치는 Peer PER 15배 적용 시 대략 1.0조원~1.5조원 수준까지 가능할 것으로 판단. 그러나 LS의 자회사들(MnM)의 상장을 고려 시 기존 제시했던 기업 가치 6.1조원과 차이가 없어 목표주가 유지","190,000",Buy,24.07.11,유진투자증권
HMA 판매량 조작 관련 소송 업데이트,"내용: HMA(현대차 북미 판매법인) 소매 판매 조작 혐의로 피소
7/8일(미국 현지시간) 로이터통신은 HMA가 일부 딜러사 통해 BEV 판매량을 부풀리기한 혐의로 피소됐다고 보도. 소송을 제기한 딜러사는 일리노이주 Napleton Aurora Imports 포함한 딜러그룹으로 시카고 연방법원에 소송제기. 원고는 HMA가 북미 딜러사 통해 BEV 소매 판매물량을 과대계상 하게하고, 이에 가담한 딜러사에게 인기 모델 재고와 추가 인센티브를 받았다고 주장. 관련하여 Robinson-Patman Act(가격에 따른 차별을 금지하는 반독점법)를 위반했다는 혐의 제기","400,000",Buy,24.07.11,대신증권
견조한 톡비즈 vs 제한적인 컨텐츠 성장,"2Q24 Preview: 영업이익 컨센서스 하회 예상
2Q24 매출은 2조 581억원(YoY +7%)으로 시장 추정치(2조 612억원)에 부합, 영업이익은 1,271억원(YoY +12.4%)로 컨센서스(1,402억원)에 하회했을 것으로 추정. 톡비즈 광고형 매출은 메시지 비즈니스 견조한 성장 반영되며 3,059억원(QoQ +9.8%, YoY +8.1%) 추정. 거래형 매출은 선물하기의 계절적 비수기 영향 및 시즈널 이벤트 효과 저조로 2,087억원 기록 (QoQ -14.3%, YoY +5.7%) 예상. 플랫폼 기타는 모빌리티 성장 지속으로 3,597억원(QoQ +3.4%, YoY +20.1%) 추정. 컨텐츠 중 게임 매출은 신작 부재한 가운데 기존작 매출 감소하며 2,423억원(QoQ -0.4%, YoY -9.8%) 추산. 뮤직 부문은 카카오엔터 산하 아티스트 활동 증가 일부 반영되며 5,137원(QoQ +9.7%, YoY +6.9%) 예상. 2Q24 영업이익은 1,271억원으로 컨센서스(1,402억원) 부합, OPM은 6.2% 수준 기록 예상. 인건비는 제한적인 채용 기조하 연봉인상분 반영으로 QoQ +1.4%, YoY +2.9% 증가 추정. 감가상각비는 뉴 이니셔티브 산하 카카오 브레인 비즈니스 투자 지속에 따라 QoQ +7.0%, YoY +10.2% 기록 추정. 마케팅비는 게임즈 및 픽코마 마케팅 증가로 QoQ +26.8%, YoY +12.7% 예상.","60,000",Buy,24.07.11,교보증권
조금이라도 요금이 올랐으니 좋았쓰,"목표주가 55,000원으로 상향, 투자의견 매수 유지
한국가스공사 목표주가 55,000원으로 기존대비 57.1% 상향하며 투자의견 매수를 유지한다. 2024년 예상 BPS에 목표PBR 0.5배를 적용했다. 규제가 안정적으로 작동하면서 매년 BPS가 꾸준히 상승하고 있지만 미수금이 반영되지 않은 수치인 점에서 목표PBR의 실질적 의미는 제한적이다. 2분기 실적은 시장 기대치에 부합할 전망이다. 8월 민수용 요금 인상 이후 누적 속도 둔화와 정부 세수 부족 상황을 감안하면 향후 배당이 재개될 가능성은 상당한 것으로 간주된다. 다만 기말 환율 추이에 따라 DPS의 변동성이 있고 최근 높아진 주가를 감안하면 예상배당수익률의 매력은 다소 낮아질 수 있다. 2024년 기준 PBR 0.4배다.","55,000",Buy,24.07.11,하나증권
Shock 이후 Surprise를 준비,"2Q24 Pre : 지상방산이 이끄는 실적 성장
한화에어로스페이스의 2Q24 실적은 매출 2조9,442억원(YoY +54.3%, QoQ +59.3%), 영업이익 2,204억원(YoY +171.4%, QoQ +490.9%, OPM 7.5%)으로 컨센서스(매출 2조5,170억원, 영업이익 2,009억원) 상회할 것으로 추정한다. 전분기 실적 부진했으나 오히려 2분기에 인도 물량 증가하는 과정에서 실적 성장 폭은 확대될 전망이다. 1) 지상방산 부문 실적은 매출 1조3,694억원(YoY +128.2%, QoQ +108.6%), 영업이익 1,031억원(YoY +370.9%, QoQ +626.2%, OPM 7.5%)으로 대폭 성장할 것으로 추정한다. 2분기 부문 실적 성장은 폴란드向 인도 물량 증가에 기인한다. 지난 4월 K9 자주포 6문, 천무 18대를 인도했으며, 6월에 천무 12대를 추가로 공급했다. 6월 인도 물량이 3분기 실적에 반영될 것으로 예상되나, 그럼에도 불구하고 4월 인도 물량만으로도 약 5,000억원 수준의 매출 인식 가능할 것으로 전망한다. 수출 물량 증가에 기반한 외형 성장 과정에서 수익성 역시 동반 개선, 부문 영업이익률은 전분기 대비 +5.4%p 상승할 전망이다. 2) 항공우주 부문 실적은 매출 YoY +11.5%, 영업이익 YoY +199.0% 증가하며 견조할 전망이다. RSP 사업의 적자는 여전히 100억원 가까운 규모를 추정하나, 점진적으로 적자폭 축소되는 과정에서 부문 수익성 개선 지속될 것으로 판단한다. 더불어, 전방 항공기 엔진 시장의 수요 회복 과정에서 외형 성장 동반될 것으로 전망한다. 3) 이 외 한화비전, 쎄트렉아이, 한화정밀기계 등의 사업 역시 과거와 유사한 실적 유지될 것으로 전망하며, 한화시스템의 실적 성장은 전사 연결 실적 성장에 우호적으로 작용할 전망이다.","289,000",Buy,24.07.11,하나증권
EV3로 중소형 세그먼트 공략 개시,"2Q24 Preview: 우상향 중인 컨센서스에 부합할 전망
매출액 27.4조 원(+4.4% YoY, +6.2% QoQ), 영업이익 3.6조 원(+6.2% YoY, +5.5% QoQ)을 기록하며 시장 기대치(매출액 27.7조 원, 영업이익 3.6조 원)에 부합할 전망이다. 1Q24 호실적을 이끌어냈던 재료비 감소효과가 2Q24 손익에도 우호적으로 반영될 것으로 판단한다. 다만 환효과 측면에서는 CDK 사태와 쏘렌토(MQ4) HEV 모델의 진부화에 따른 KUS의 6월 미국 판매실적 역성장(-6.5% YoY), 또한 높은 기말환율을 감안하여 현대차와 마찬가지로 어닝서프라이즈보다는 우상향 중인 컨센서스에 부합이라는 접근이 요구된다. 국내에 2Q24 중 런칭한 EV3의 2024년 연간 판매계획은 총 2.8만 대(국내 1.8만 대, 유럽 1.0만 대)이며, 유럽으로의 선적은 9월부터 시작될 예정이다. E-GMP 기반의 최초 B-Segment SUV인 만큼 최근 유럽에서의 BEV 판매 둔화 업황을 타개할 수 있는 전략모델로서의 활약 여부가 관건이 될 것이다.","150,000",Buy,24.07.11,키움증권
"안정성은 확보, 큰 틀에서의 변화 필요","2분기 영업이익 734억원(yoy -10.5%) 전망
2분기 매출액 3,328억원(yoy +0.5%), 영업이익 734억원(yoy -10.5%, OPM 22.1%)으로 컨센서스 상회를 전망한다. 부문별 매출액은 카지노 2,945억원(yoy +0.1%), 비카지노 383억원(yoy +4.1%)을 예상한다. 카지노는 방문객 568천명(yoy -1.4%), 드랍액 1조3,349억원(yoy -5.9%), 홀드율 24.2%(yoy +1.7%p)을 기록할 것으로 판단한다. 지난해 2019년 대비 50% 수준에 그쳤던 VIP 기여도가 1분기에 이어 연속적으로 회복세를 그릴 전망이다. 다만, 해외여행 확대 등으로 인하여 Mass가 소폭 감소해 카지노 전체적인 성장은 확인하기 어려울 전망이다. 카지노 매출규모가 유사하기에 전분기 대비 비용 상승 압박은 크지 않을 것으로 보이고, 경영평가 등급을 반영한 인건비 등 비용 감소로 영업이익의 일부 기여 발생을 예상한다.","20,000",Buy,24.07.11,키움증권
"2Q24 Pre: SCFI가 2,000pt 상승한다면","투자의견 Neutral 유지, 목표주가 16,000원으로 하향
HMM에 대한 투자의견 Neutral을 유지하고, 목표주가를 기존 18,000원에서 16,000원으로 하향한다. 컨테이너선의 희망봉 우회가 장기화되고 항만체선 심화와 안전재고 축적 수요가 가세하며 SCFI(상하이컨테이너운임지수)는 현재 3,700pt 이상으로 상승했고, 당분간 물동량 수요가 선복량 증가를 능가하는 상황이 이어질 것인 바, 2024년~2025년 1분기까지는 컨테이너 선사들의 호실적 구간이 이어질 전망이다. 2024년/2025년의 HMM의 매출액/영업이익 추정치를 각각 12.0조원/2.9조원, 10.9조원/1.7조원으로 상향한다. 기존 목표 P/B인 0.55배를 유지하되, 2024년~2025년의 전환사채(주식전환 시 총 2.76억주, 유통주식 수의 37%) 로 인한 주주가치 희석을 감안하여 목표주가를 16,000원으로 하향 조정한다.","16,000",Neutral,24.07.12,하나증권
대표이사 간담회 후기: 가시화된 일본 시장,"대표이사 간담회 후기: 가시화된 일본 시장
7월 11일, 한올바이오파마는 정승원 대표가 직접 국내외 애널리스트를 대상으로 기업의 중장기적 개발 전략 및 anti-FcRn 개발 현황을 소개하는 간담회를 진행하였다. 오픈이노베이션 전략을 위하여 미국 내 거주 중인 정승원 대표는 anti-FcRn 바토클리맙 및 HL161ANS(=IMVT-1402)의 일본 권리에 대한 공동개발 및 상업화를 위한 파트너십 논의를 위해 한국을 방문하였다. 한올바이오파마는 바토클리맙 및 HL161ANS(=IMVT-1402)에 대하여 글로벌 판권은 이뮤노반트에게 라이선스 아웃하였으며 중화권 권리는 하버바이오메드와 파트너십을 맺었다. 그 외 일본 및 한국은 현재 한올바이오파마가 권리를 보유하고 있으며 중증근무력증(MG, Myasthenia gravis)및 갑상선안병증(TED, Thyroid Eye Disease)에 대하여 직접 임상 3상을 진행하고 있다. 미국 이뮤노반트는 데이터에 따라 1402로 전환하고자 하여 출시시점이 불분명하나 한올바이오파마는 일본에서는 1402 전환 없이 바토클리맙으로 빠르게 2027년 출시를 목표로 하고 있다. 각 임상은 내년 1분기 및 상반기에 top line 결과를 확보하여 ‘26년 1분기 J-NDA filing을 진행할 계획으로 ‘27년부터 본격적으로 시장에 진출할 것으로 예상된다.","65,000",매수,24.07.12,DS투자증권
"종합식품회사로 도약, 냉동김밥은 덤","M&A로 외형성장과 수익성 확대
동사는 올해 사조CPK와 푸디스트를 인수하며 종합 식품 밸류체인을 완성했다. 전분당 소재 및 제품 생산 업체인 사조CPK는 국내 M/S 24%로 과점체제에서 우위를 점하고 있다. 동사의 사조CPK 인수 효과로 1) 로열티 및 수수료 절감 2) 식품시장 경쟁력 강화 3) 제품 라인업 확대가 기대된다. 특히 인수 전 사조CPK의 연간 영업이익률은 3%대였지만, 인수 후 10% 내외로 급증하여, 동사의 수익성 확대에 기여할 전망이다. 지난 6월 인수계약을 체결한 푸디스트는 식품 제조와 유통, 급식 사업을 영위하며, 매출 규모는 약 1조원이다. 동사는 이번 인수로 식자재 생산부터 유통, 소비에 이르기까지 효율적으로 관리할 수 있는 기반을 마련하며, 외형성장과 수익성 개선이 가능할 것으로 기대된다.",,없음,24.07.12,유안타증권
달라진 눈높이,"사실상 아직 12MF PBR밴드 중단 수준
IT OLED, 모바일 OLED Capa 증설, OLED TV 출하량 증가 등 체질 개선 노력이 가시화 되며 2024년 영업손실 축소, 2025년 영업이익 흑자전환이 가능할 전망. 현재 주가는 12MF PBR 0.9배 수준으로 고평가라 오해할 수 있으나, 1Q24 유상증자에 따른 발행주식수 증가(4억 → 5억)를 제외하고 고려하면 PBR밴드 중단 수준. 주가 업사이드는 여전히 존재","15,000",매수,24.07.12,신한투자증권
준비된 K-푸드 강자,"하반기 해외 법인 턴어라운드
하반기 미국, 일본, 중국의 해외 법인 실적 턴어라운드가 기대된다. 지속적으로 현지 생산 체제를 구축해온 해외 법인 성과가 올해 하반기 흑자로 전환점을 맞이하게 되는 것이다. 미국에서는 두부와 아시안 푸드의 매출 성장과 원가 절감을 통해 실적이 향상되며, 일본은 두부바 매출 비중 확대와 주력 제품 가격 인상을 통해 흑자 전환이 가능할 전망이다. 중국은 유통 채널 재개와 생산 능력 확대로 수익성 개선이 기대된다. 이는 지난해부터 해외 생산 능력 강화와 물류 효율화를 통해 적자폭을 줄인 결과로, 2024년에는 해외 법인의 첫 흑자 전환이 전망된다.",,없음,24.07.12,유안타증권
신한 속보_두산밥캣,"▶ 두산로보틱스와 포괄적 주식 교환, 상장폐지 계획 발표
- 7/11 장종료 후 공시를 통해 지배구조 재편 방안을 발표
- 두산에너빌리티 자회사인 두산밥캣을 두산로보틱스 자회사로 편입, 공개매수를 통한 100% 지분 매입으로 상장 폐지 예정
- 두산에너빌리티를 사업회사와 투자회사로 분할 후 두산밥캣이 속한 투자회사를 두산로보틱스 지분과 맞교환
- 일정은 7/11 이사회, 7/29 주주확정 기준일, 9/25 주주총회, 9/25~10/15 주식매수 청구권 행사기간, 9/25~10/25 채권자 이의제출기간, 분할합병기일 10/29, 주식교환일 11/5, 신주 상장예정일 11/25
- 두산로보틱스 합병가치는 5.19조원, 주당 80,114원, 두산밥캣 교환가치는 5.07조원, 주당평가액 50,612원. 교환비율은 두산로보틱스1, 두산밥캣 0.63","64,000",매수,24.07.12,신한투자증권
게임 성적이 아쉽다,"WHAT’S THE STORY?
2Q24 실적 Preview- 컨센서스 하회 예상: 2분기 연결 매출액은 6,384억원(+2.8% YoY), 영업이익 631억원(-22.4% YoY)으로 시장 컨센서스를 밑돌 것으로 전망한다. 1) 직전분기와 달리 세븐틴, TXT, 뉴진스, 보이넥스트도어, 투어스 등 주요 아티스트의 신보 활동이 활발히 진행되면서 음반 성과는 높아졌지만, 2) 하이브IM의 첫 퍼블리싱 게임 ‘별이 되어라2’(4월 2일 론칭)의 성적이 기대보다 미진해 손실 기여가 예상된다. 게임 관련 매출은 콘텐츠 부문 실적으로 반영된다. 3) 6월 말 첫 싱글을 발표하고 정식 데뷔한 미국 현지 걸그룹 ‘KATSEYE’ 관련 제작 비용 등도 반영된 것으로 파악된다. 4) 뉴진스의 도쿄 돔 팬미팅은 별도의 현지 프로모터와 진행해 ‘순매출’ 형태로 인식할 것이다.","270,000",Buy,24.07.12,삼성증권
Upstream 경력이 부각될 수 있는 시기,"목표주가 76,000원, 투자의견 매수 유지
포스코인터내셔널 목표주가 76,000원, 투자의견 매수 유지한다. 2분기 실적은 컨센서스에 부합할 전망이다. 원자재 가격 하락과 제품 수요 부진 영향이 완전히 해소되지는 않았지만 사업 포트폴리오 다각화로 이익 규모는 안정적으로 유지되는 모습이다. 하반기 철강 시황의 회복 여부에 따라 추가 실적 개선 가능성이 존재한다. 현재 추진되고 있는 국내 자원개발 프로젝트의 진행 경과에 따라 다시 이슈가 부각될 수 있다. 2024년 추정 기준 PER 14.4배, PBR 1.5배다.","76,000",Buy,24.07.12,하나증권
다소 아쉬운 펀더멘탈 개선,"2Q24 Preview: 다소 아쉬운 펀더멘탈 개선
롯데케미칼의 2Q24 매출액은 5.5 조원(+8.9% YoY, +7.1% QoQ), 영업적자 736억원(적지 YoY, 적지 QoQ)으로 컨센서스를 하회하는 실적을 기록했을 것으로 추정된다. 1Q24 대비 전반적으로 개선된 스프레드에 따라 적자 축소했을 것으로 예상된다. 1) 기초소재: 영업이익 -565 억원(적지 QoQ)을 기록했을 것으로 추정된다. 전분기대비 축소된 주요 제품 Spread 에 따라 1Q24 대비 적자폭을 축소했을 것으로 예상된다. 하지만, 6 월 Spread 축소, 다소 부진한 Polymer Spread 영향으로 큰 폭의 턴어라운드는 어려웠을 것으로 예상된다. 2) 첨단소재: 영업이익 652 억원(+47.0% QoQ)을 기록하며 증익 가능했을 것으로 추정된다. ABS 가격은 +11.6% QoQ 를 기록했으며, 이에 따라 Spread 역시 개선됐다. 성수기 효과 지속과 중국 이구환신 정책 확대에 따라 내구재향 수요 개선되며 판매량 역시 1Q24 대비 증가했을 것으로 추정된다. 3) LC Titan 및 USA: LC Titan 영업적자 480 억원(적지 QoQ)을 기록했을 것으로 추정된다. 기초소재대비 BZ, BD 등 수익성 높았던 제품 비중이 상대적으로 적었던 상황이며, 이에 따라, 큰 폭의 실적개선은 역시 어려웠을 것으로 추정된다. LC USA는 설비 가동 중단이 일부 발생함에 따라 일회성 비용 발생하며, Spread 개선에도 적자 지속했을 것으로 추정된다.","160,000",매수,24.07.12,SK증권
"점차 회복하는 Q, 견조한 P","목표주가 13.3만원으로 하향. 매수 의견 유지
OCI홀딩스의 목표주가를 7% 하향한 13.3만원으로 제시하며, 매수 의견을 유지한다. 최근 동남아 공장 가동률 감소로 인해 실적 추정치를 하향했으며, 밸류에이션도 소폭 조정(4.8배→4.2배)했다. 자회사인 OCI의 순이익은 상장 기업 디스카운트로 인해 20%만 반영했다. 폴리실리콘 판매량 감소 우려는 하반기 내 해소될 전망이며, 판가 역시 Non-China 프리미엄으로 인해 견조하게 유지될 것이다. 진행 중인 400억원 규모의 자사주 매입 역시 주가의 하방을 지지해 줄 요인으로 판단한다.","133,000",매수,24.07.12,미래에셋증권
밸류데이를 통해 확인한 긍정적인 변화,"2Q24 무난한 실적 예상
동사의 2 분기 연결 실적은 매출액 18 조원(-10.4% YoY, -0.1% QoQ), 영업이익 6,996 억원(-47.3% YoY, +20% QoQ)을 기록하여 대체로 컨센서스에 부합할 것으로 전망한다. 1 분기 대비 일회성 손실 800 억원 제거되고 스프레드도 0.5 만원(판가 +1.7 만원, 원가 +1.2 만원) 상승하여 전분기 대비 실적 개선될 것으로 기대된다. 다만 대규모 개보수 영향으로 판매량은 785 만 톤(-6% YoY, -5% QoQ)으로 감소하여 실적 개선폭은 크지 않을 것으로 예상한다. 3 분기부터는 낮은 수준의 원가 본격적으로 반영되며 스프레드 개선폭 확대될 것으로 기대한다. 아울러, 4 고로 개수 종료 이후 판매량 증가도 기대해볼 만하다고 판단한다.","510,000",매수,24.07.15,SK증권
주가는 악재를 충분히 반영 중,"높았던 실적 컨센서스 하향세, 주가는 넘치게 반영 중
상장 때부터 수출 성장주 대표기업으로서 시장 투자자 관심을 높였으나, 2Q24~3Q24 실적 우려가 당면하며 주가는 급락세 보임. 패션 부문 실적 부진 외에 홈뷰티 디바이스 수출 성장 둔화 우려가 주가 낙폭 키웠다고 판단. 다만 시장 우려를 현 주가에 충분히 반영하고 있어 저점 매수 추천","400,000",매수,24.07.15,신한투자증권
2Q24 Preview: 실적 개선은 3분기부터,"2Q24 Preview: 영업이익 기준 컨센 대비 하회하는 실적 예상
동사는 2024년 2분기 매출액 1조원(-9% QoQ, -14% YoY), 영업이익 163억원(OPM 2%, -57% QoQ, -69% YoY)으로 컨센서스(영업이익 192억원) 대비 하회하는 실적 예상. 이는 기초소재 부문 판가 하락 및 라임/화성 보수로 인한 가동 중단 영향으로 인한 것. 에너지소재 부문 중 양극재는 N65 제품의 P, Q 감소에도 불구 N86 제품 가동률 상승으로 1분기 환입효과 제외한 영업이익 대비 개선이 예상됨. 음극재는 천연흑연 판가는 하락했으나 Q 증가로 1분기와 유사한 매출액 및 영업이익이 예상. 다만, 실적 추정에는 인조 흑연 적자(약 70억원 적자 반영)가 일부 반영됨","296,000",Hold,24.07.15,유안타증권
"체코, SMR 등이 다가오고 있다","탄소배출 감축 및 국가 안보 측면에서 전 세계적으로 원전 확대 가능성 증대 ⇒ 체코 등 에서의 수주 가능성 높아지면서 동사 수혜 가능할 듯
AI, 반도체, 전기차 등이 성장하면서 에너지 수요도 증가하고 있는데, 특히 AI 등으로 인한 데이터센터 건설 등으로 인하여 전력 사용량 증대가 예상된다. 그런데 석탄 등 화석연료의 경우 탄소를 배출해 기후 위기를 심화시킬 수 있으며, 태양광, 풍력 등 신재생에너지는 자연환경 변화에 영향을 많이 받아 안정적인 전력 공급이 어렵다. 이러한 환경하에서 지난해 12월 제28차 유엔기후변화협약 당사국총회(COP28)에서 원자력을 청정에너지 전환의 필수 요소로 인정하고, COP28에 참석한 한국, 미국, 일본, 영국, 캐나다, 프랑스, 스웨덴 등 전세계 22개국 대표들은 2050년까지 원전 설비 용량을 2020년 대비 3배 확대한다는 내용의 선언문에 서명하였다. 이러한 탄소배출 감축 등 기후변화 대응을 넘어서 국가 안보측면에서도 안정적 전력공급원을 통한 에너지 자립도를 높이기 위하여 원전이 확대될 것으로 예상된다. 특히 유럽에서는 탄소 중립과 더불어 러시아의 우크라이나 침공 이후 에너지 안보 측면에서도 원전수요가 증가하는 추세에 있다. 또한 대통령 선거를 앞두고 있는 미국에서도 바이든과 트럼프 모두 중국과 러시아와의 안보 경쟁을 위해 원전 확대에는 기조를 같이 하고 있다. 즉, 바이든은 온실가스 배출량을 낮춘다는 측면에서, 트럼프는 효율적인 부문과 더불어 일자리 창출 및 경제 성장 효과 측면에서 원전 확대를 지지하고 있다. 지난 9일에는 바이든 미국 대통령이 원자력 에너지 산업을 강화하기 위해 원자력 발전소 허가를 위한 절차를 간소화할 뿐만 아니라, 원전 허가를 위해 기업들이 내야 하는 수수료를 줄이는 것 등이 주요 내용인 원자력 발전법에 서명하였다. 이러한 환경하에서 체코, 폴란드, 네덜란드, 루마니아, 영국, 스웨덴, UAE, 튀르키예, 사우디아라비아 등 글로벌 시장에서 신규 원전 건설 계획이 가시화 되고 있다. 그 중에서도 체고의 경우 두코바니(5·6호기), 테멜린(1·2호기) 지역에 각각 1.2GW 이하의 원전 4기를 건설하는 사업을 추진하고 있으며, 추정 사업비가 30조원에 이르고 있다. 한국 팀코리아와 프랑스 EDF가 경합하는 가운데 오는 17일 우선협상대상자 선정 결과가 나올 예정이다. 한국의 경우 가격과 품질 뿐만 아니라 납기 준수 경쟁력 측면에서 프랑스 보다 우위에 있기 때문에 그 만큼 수주 가능성이 높아지면서 동사에게 수혜가 예상된다. 만약 체코 원전 수주에 성공한다면 폴란드, 네덜란드, 루마니아 등 한국형 원전의 유럽시장 진출에 우위를 선점하면서 수출확대의 교두보가 될 것이다. 한편, UAE의 바라카 원전 1~4호기의 성공적인 수행 등을 고려할 때 원전 5,6호기 사업이 추진될 경우 한국의 수주 가능성이 높아지면서 동사에게 수혜가 예상된다.",,없음,24.07.15,하이투자증권
2분기 실적 예상치 상회 전망과 담보된 3년,"2Q24 Preview: 시장예상치 상회 전망
한화에어로스페이스의 2분기 매출액은 2조 8,720억원(YoY +50.5%), 영업이익 2,456억원(OPM +8.6%)으로 시장예상치(매출액 2조 5,771억원, 영업이익 2,094억원)을 상회할 것으로 추정됨. 현지기사에 따르면 2분기 인도된 폴란드 향 물량은 4월 천무 18문, 6월 K9 6문, 천무12문임(출처: Dziennik Zbrojny). 다만 인도가 되었다고 바로 매출인식이 발생되는 것이 아니라 테스트 완료까지 되어야 매출인식. K9의 경우 테스팅이 오래걸리지 않으나 천무는 현지 차체 결합에 소요되는 기간이 대략 1~2달 정도 소요된다는 것을 고려하면 보수적으로 6월에 인도된 천무 12문은 7월(3분기)에 매출인식될 것으로 추정됨. 천무의 단차 가격(탄약 제외) 30억원 내외일 것으로 추정되나 탄약과 동시 납품되어 같이 매출인식이 될 경우 대당 300억원에 근접한 가격일 것이라고 추정됨(22년 288대, 총계약규모 8.4조원 단순 계산).","313,000",Buy,24.07.15,교보증권
증설은 계획대로 진행 중,"2Q24 Preview: 무난한 실적 예상
2Q24 매출액 3,010 억원(YoY -0.9%), 영업이익 150 억원(YoY +15.3%)를 전망한다. 전력기기 상승 사이클에 맞춰서 수주잔고역시 성장이 예상된다. 전력선 수주잔고는 8,150 억원(YoY +22.0%), 중전기는 1 조 2,780 억원(YoY +209.0%)를 전망한다.24년 실적의 변수는 반덤핑관세 환입이다. 23년의 경우 환입으로 100억원 규모의 일회성이익이 발생했는데, 24 년에도 추이를 지켜볼 필요가 있다.","40,000",매수,24.07.15,SK증권
연간 매출 혹은 그 이상만큼 업데이트 되는 ..,"2Q24 Preview: 영업이익 시장예상치 하회 전망
LIG넥스원의 2분기 매출액은 7,057억원(YoY +29.3%), 영업이익 464억원(OPM +6.6%)으로 시장예상치(매출액 6,908원, 영업이익 557억원)을 하회할 것으로 추정됨. 인도네시아 경찰청 통신망 관련 2개의 수출사업 약 2,559억원이 1분기에 반영되며 전분기, 전년동기대비 매출 상승에 기여했지만 2분기에는 이러한 일회성 요인이 사라지며 매출은 전분기대비 감소할 전망. 또한 해당 프로젝트가 2~3%대의 저수익성 사업임에도 불구하고 양산사업의 매출반영 증대, 전년동기 보수적으로 반영되었던 지체상금, 손실충당금 환입 및 환율효과 약 74억원이 반영되며 높은 영업이익률(8.8%) 기록했던 반면 2분기 영업이익은 매출액과 마찬가지로 일회성 요인이 제한될 것이며 추가로 4월 2일 공시한 3,000억원 규모의 세종연구소 성남 소재 토지 및 건물 매입(유형자산 취득)에 따른 고정비 부담이 일부 발생될 것으로 전망","250,000",Buy,24.07.15,교보증권
본업이 잘했다,"2Q24 Preveiw: ODM 호실적 예상
한국콜마의 2Q24 실적은 매출액 6,519억원(YoY +9%), 영업이익 652억원(YoY +17%)으로 시장 기대치 부합을 예상한다. 국내 ODM 실적이 돋보일 전망이다. 국내는 매출액 2,968억원(YoY +17%), 영업이익 404억원(YoY +16%), OPM 13.6%로 추정한다. 썬 제품이 성수기 효과로 전체 성장을 상회했을 것으로 예상된다. 그 외 제품 수주도 고르게 확대하면서 썬 계절성이 완화된 이후로도 견고한 매출 성장이 기대된다. 상여 충당이 반영될 가능성이 존재하여 영업이익률은 전년 수준으로 예상한다. 제조 마진 기준 개선되었을 것으로 추정된다. 중국은 매출액 575억원(YoY -10%), 영업이익 89억원(YoY +3%)로 예상한다. 북경 생산 중단 영향을 제외한 무석 기준 매출은 YoY +2% 수준으로 추정한다. 현지 저가 수주 경쟁이 심화되면서 매출보다 이익 방어 기조로 대응하였다. 미국/캐나다도 매출과 이익 전반 아직 유의미한 개선 흐름은 나타나지 않고 있다. 연우는 매출액 670억원(YoY +6%), 영업이익 19억원(YoY +52%)를 예상한다. 직접 수출 증가와 전년 기저효과에 비롯해 증익 추세가 이어지고 있다. 다만 금형 투자가 진행되며 아직 마진이 낮은 한자릿수에 그쳐 있다. 국내 수출 고객사향 대응이 본격화될 경우 추가적인 마진 개선이 가능할 전망이다.","75,000",매수,24.07.15,미래에셋증권
